,1,2,3,4,5,6,7,8,9,10,11,12
A,5F01,53F09,252F17,272F25,284F33,38F41,5R49,53R57,252R65,272R73,284R81,38R89
B,16F02,70F10,252F18,272F26,285F34,45F42,16R50,70R58,252R66,272R74,285R82,45R90
C,16F03,70F11,255F19,273F27,285F35,45F43,16R51,70R59,255R67,273R75,285R83,45R91
D,38F04,74F12,256F20,274F28,286F36,53F44,38R52,74R60,256R68,274R76,286R84,53R92
E,38F05,74F13,258F21,277F29,5F37,53F45,38R53,74R61,258R69,277R77,5R85,53R93
F,45F06,229F14,260F22,278F30,16F38,70F46,45R54,229R62,260R70,278R78,16R86,70R94
G,45F07,229F15,265F23,279F31,16F39,70F47,45R55,229R63,265R71,279R79,16R87,70R95
H,53F08,234F16,266F24,282F32,38F40,74F48,53R56,234R64,266R72,282R80,38R88,74R96
