,1,2,3,4,5,6,7,8,9,10,11,12
A,01F1,22F9,40F17,54F25,71F33,236F41,01R49,22R57,40R65,54R73,71R81,236R89
B,03F2,25F10,43F18,55F26,72F34,238F42,03R50,25R58,43R66,55R74,72R82,238R90
C,03F3,26F11,44F19,57F27,74F35,239F43,03R51,26R59,44R67,57R75,74R83,239R91
D,05F4,27F12,45F20,58F28,228F36,246F44,05R52,27R60,45R68,58R76,228R84,246R92
E,07F5,28F13,46F21,59F29,229F37,250F45,07R53,28R61,46R69,59R77,229R85,250R93
F,12F6,34F14,51F22,63F30,232F38,251F46,12R54,34R62,51R70,63R78,232R86,251R94
G,13F7,37F15,52F23,64F31,233F39,252F47,13R55,37R63,52R71,64R79,233R87,252R95
H,16F8,38F16,53F24,70F32,234F40,254F48,16R56,38R64,53R72,70R80,234R88,254R96
